Company Name,Customer ID,Address Description,City,Country,Line 1,Line 2,Line 3,State,Zip
"_Unknown Company","1903300"," Poll Farms - Gord","Hamilton ","United States","4406 134th Avenue","","","MI","49419"
"21st Century Coop (Twenty First)","1980421","Shipping ","Fontanelle","USA","220 West Washington Street","","","IA","50846"
"21st Century Coop (Twenty First)","1980421","Billing ","Cumberland","USA","PO Box 80","","","IA","50843"
"3331039 Nova Scotia Limited","1989011","Shipping ","Steam Mill","Canada","410 North Aldershot Rd","","","NS","B4N 3V9"
"3331039 Nova Scotia Limited","1989011","Billing","Canning","Canada","PO Box 392","","","NS","B0P 1H0"
"4+ Feeders LLC","2530412","Shipping","Lexington","USA","43145 Road 758","","","NE","68850"
"4+ Feeders LLC","2530412","Billing","Neosho","USA","3200 2nd Street","","","MO","64850"
"A and D Farms, Inc.","2645936","Shipping And Billing","Keota","USA","26584 305th Ave","","","IA","52248"
"A And L Spronk Farms","1980423","Shipping And Billing ","Edgerton","USA","642 190th Ave","","","MN","56128"
"A Baurs","2169039","Shipping and Billing","Colombo 1","Sri Lanka","PO Box 11","5, Upper Chatham Street","","",""
"A L Gilbert OCFY Facility","2503874","Shipping","Oakdale","USA","7643 Emery Road"," ","","CA","95361"
"A L Gilbert OCFY Facility","2503874","Billing","Keyes","USA","PO Box 459 Keyes Road","","","CA","95328"
"A To Z Drying, Inc.","2008119","Shipping And Billing","Osage","USA","1000 Wallace Road","","","IA","50461"
"AAA Egg Company PTY LTD","1980424","Shipping And Billing ","Palmyra","Australia","PO Box 2147","","","Western Australia","6157"
"ACA Bio (ICM)","2159177","Shipping","San Martin","Argentina","Autopista Nacional N9","Km 555 5900 General","","Cordoba",""
"Active Feed Company","2353004","Shipping And Billing","Pigeon","USA","7564 Pigeon Road","","","MI","48755"
"ADM Co-Generation Plant","2641155","Shipping","Decatur","USA","4666 E Faries Parkway","","","IL","62526-5630"
"ADM Co-Generation Plant","2641155","Billing","Decatur","USA","PO Box 2576","","","IL","62526"
"Advanced Micronutrient Products","2244779","Shipping","Reese","USA","2405 W Vassar Rd","","","MI","48757"
"Ag Cooperative Corporate","2948752","Billing","Sedalia","USA","2420 Clinton Road","","","MO","65301"
"Ag Cooperative Services ","2942450","Shipping ","Otterville","USA","3645 Highway 50","","","MO","65348"
"Ag Cooperative Services ","2942450","Shipping","Otterville","USA","3645 Highway 50","","","Mo","65348"
"Ag Pack Corporate","2948753","Billing","Sanford","USA","115 McNeill Road","","","NC","27330"
"Ag Pack Sanford","1989347","Shipping And Billing","Sanford","USA","115 McNeil Road","","","NC","27330"
"Ag Pack Westville","1989349","Shipping And Billing","Westville","USA","Kansas City RR & Cherokee Street","","","OK","74965"
"Ag Partners Corporate LLC","1980544","Billing ","Albert City","USA","PO Box 38","","","IA","50510"
"Ag Partners Goodhue","1989261","Billing","Goodhue","USA","PO Box 218","","","MN","55027"
"Ag Partners Goodhue","1989261","Shipping","Goodhue","USA","101 Broadway St N","","","MN","55027"
"Ag Partners LLC Ellsworth","2174144","Shipping","Ellsworth","USA","3364 Vail Ave","","","IA","50075"
"Ag Partners Pine Island","1980958","Billing ","Goodhue","USA","PO Box 218","","","MN","55027"
"Ag Partners Pine Island","1980958","Shipping ","Pine Island","USA","417 North Main St","","","MN","55963"
"Ag Partners Sheldon LLC","1980970","Billing","Sheldon","USA","PO Box 128","","","IA","51201"
"Ag Partners Sheldon LLC","1980970","Shipping","Sheldon","USA","1541 Western Ave","","","IA","51201"
"Ag Pro","2029580","Shipping And Billing","Turlock","USA","3106 S Faith Home Road","","","CA","95381"
"Ag Production Enterprises, Inc. ","1980974","Shipping And Billing","Greensburg","USA","6564 W Cty Rd 100 N","","","IN","47240"
"Ag Reserves, Inc","2130645","Shipping","Elberta","USA","16100 S 12800 W Street","","","UT","84626"
"Ag Reserves, Inc","2130645","Billing","Elberta","USA","PO Box 10","","","UT","84626"
"Ag West Feed And Supply","1980989","Shipping And Billing","Cozad","USA","41581 Highway 30","","","NE","69130"
"AgCentral Farmers Coop","2947617","Shipping And Billing","Athens","USA","29 East Avenue","","","TN","37303"
"Agri Way Partners LLC","1980990","Shipping And Billing","Wayland","USA","312 East Hwy 78","","","IA","52654"
"Agricultural Services Inc.","2849988","Shipping","Grand Island","USA","2777 N Broadwell Ave","","","NE","68803"
"Agriland FS Albany","2963343","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Albany","2963343","Shipping","Albany","USA","5275 US Hwy 136","","","MO","64402"
"Agriland FS Audubon","2928219","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Audubon","2928219","Shipping","Hamlin","USA","1914 220th Street","","","IA","50117"
"Agriland FS Burlington Junction","2878611","Shipping","Burlington Junction","USA","1010 Roseberry Ave","","","MO","64428"
"Agriland FS Burlington Junction","2878611","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Canby","2928234","Shipping","Casey","USA","1706  160th St","","","IA","50048"
"Agriland FS Canby","2928234","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Clarinda","2878593","Billing","Winterset","USA","421 N 10th Street","","","IA","50273"
"Agriland FS Clarinda","2878593","Shipping","Clarinda","USA","713 E Garfield Street","","","IA","51632"
"Agriland FS Corporate","2878617","Billing","Winterset","USA","421 N 10th Street","","","IA","50273"
"Agriland FS Griswold","2675784","Shipping","Griswold","USA","54911 Troy Road","","","IA","51535"
"Agriland FS Griswold","2675784","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Harlan","2928236","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Harlan","2928236","Shipping","Harlan","USA","1212 Industrial Parkway","","","IA","51537"
"Agriland FS Missouri Valley","2963321","Shipping","Missouri Valley","USA","1850 335th Street","","","IA","51555"
"Agriland FS Missouri Valley","2963321","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"AgriLand FS Oskaloosa","2134787","Shipping ","Oskaloosa","USA","3205 Highway 23 South","","","IA","52577"
"AgriLand FS Oskaloosa","2134787","Billing","Winterset","USA","421 N 10th Street","","","IA","50273"
"Agriland FS Underwood","2928212","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Underwood","2928212","Shipping","Underwood","USA","701 Highway Street","","","IA","51576"
"Agriland FS Woodbine","2928218","Shipping","Woodbine","USA","1972 Panora Ave","","","IA","51579"
"Agriland FS Woodbine","2928218","Billing","Winterset","USA","421 N. 10th St","","","IA","50273"
"Agriland FS Wyman","2963328","Shipping","Crawfordsville","USA","28465 Co Rd G62","","","IA","52621"
"Agriland FS Wyman","2963328","Billing","Winterset","USA","421 N 10th Street","","","IA","50273"
"AgroLiquid","2951378","Shipping","Ashley","USA","302 Sectionline Street","","","MI","48806"
"Agromart","2249497","Shipping","Trenton","Canada","18262 Telephone Road","","","ON","K8V 5P4"
"Agrow Solutions","2971780","Shipping And Billing","Pullman","USA","1601 Ol Wawawai Road","","","WA","99163"
"AgState Corporate","2948755","Billing","Newell","USA","PO Box 316","167 West First Street","","IA","50568"
"AgState Nemaha ","1989222","Shipping ","Nemaha","USA","210 Main St","","","IA","50567"
"AgState Nemaha ","1989222","Billing","Newell","USA","PO Box 316","167 West First Street","","IA","50568"
"AgState Newell South Mill ","1989221","Billing","Newell","USA","167 West 1st Street","PO Box 316","","IA","50568"
"AgState Newell South Mill ","1989221","Shipping","Newell","USA","2866 Troys Mills Blvd","","","IA","50568"
"AGWRX Cooperative","1992645","Shipping And Billing","Watertown","USA","811 Burlington Northern Drive","","","SD","57201"
"Ainsworth Feed Processing","1989298","Physical Address of Mill","Ainsworth","USA","87012 State Hwy 7","","","NE","69210"
"Ainsworth Feed Processing","1989298","Shipping","Ainsworth","USA","87803 Honeybee Road","Attn: Scott Fuelberth","","NE","69210"
"Ainsworth Feed Processing","1989298","Billing","Ainsworth","USA","300 N Main Street","","","NE","69210"
"Ainsworth Feed Processing","1989298","Shipping","Ainsworth","USA","558 N Maple St","Attn: Scott Fuelberth","","NE","69210"
"Al Safi Dairy Corporate","2251298","Billing","Al Kharj","Saudi Arabia","16455 Haradah Road","","","SA",""
"Al Safi Dairy Corporate","2251298","Corporate","","","","","","",""
"Al Safi Dairy PMR Plant","2251576","Shipping","Al Kharj","Saudi Arabia","16455 Haradh Rd","","","",""
"Al Safi Dairy Premix ","2010332","Shipping And Billing","Al Kharj","Saudi Arabia","16455 Haradh Rd","","","",""
"Albert Lea Elevator","2005129","Billing","Albert Lea","USA","PO Box 1122","","","MN","56007"
"Albert Lea Elevator","2005129","Shipping","Albert Lea","USA","1301 W 9th Street","","","MN","56007"
"Alcivia ","1989158","Billing","Durand","USA","514 E Main St, PO Box 250","","","WI","54736"
"Alcivia ","1989158","Shipping","Menomonie","USA","E 6253 628th St","","","WI","54751"
"All American Cooperative","2131475","Shipping and Billing","Stewartville","USA","113 4th Street SE","","","MN","55976"
"Allen Klassen","1989407","Shipping And Billing","Coaldale","Canada","Box 126","","","AB","T1M 1M2"
"Alpha Feed Mill","1986514","Shipping And Billing","Alpha","USA","2741 North 150th Avenue","","","IL","61413"
"American Colloid Corporate","1986526","Shipping","Neenah","USA","901 Acco Ave","","","WI","54957"
"American Colloid Corporate","1986526","Shipping","Troy","USA","11645 State Road 545","","","IN","47588"
"American Colloid Corporate","1986526","Corporate","","","","","","",""
"American Colloid Neenah","1986515","Shipping","Neenah","USA","901 Acco Avenue","","","WI","54957-0726"
"American Colloid Neenah","1986515","Billing","Neenah","USA","PO Box 726","","","WI","54957-0726"
"American Colloid Troy","1986523","Shipping And Billing","Troy","USA","11645 State Road 545","","","IN","47588"
"American Freedom Distillery","2970058","Shipping","Somerset","USA","795 Slate Branch Rd","","","KY","42503"
"Ameropa","2728609","Shipping","","","","","","",""
