Company Name,Customer ID,Extension,Phone Number,Phone Type
"21st Century Coop (Twenty First)","1980421","","641-745-8511","Mill"
"21st Century Coop (Twenty First)","1980421","","641-745-3371","Mill"
"A and D Farms, Inc.","2645936","","641-636-3780","Home"
"A And L Spronk Farms","1980423","","1-507-227-4822","Office"
"A And L Spronk Farms","1980423","","507-215-0239","Office"
"A L Gilbert OCFY Facility","2503874","","209-634-9331","Office"
"A To Z Drying, Inc.","2008119","","641-732-5805","Office"
"AAA Egg Company PTY LTD","1980424","","011-61-08-9319-0290","Fax"
"AAA Egg Company PTY LTD","1980424","","011-61-08-9319-0214","Office"
"Active Feed Company","2353004","","989-453-2472","Office"
"Active Feed Company","2353004","","989-327-0524","Mill"
"ADM Co-Generation Plant","2641155","","217-451-6040","Office"
"Ag Cooperative Services ","2942450","","660-826-5329","Office"
"Ag Cooperative Services ","2942450","","660-366-4325","Mill"
"Ag Pack Sanford","1989347","","919-774-7364","Office"
"Ag Pack Sanford","1989347","","919-774-7957","Fax"
"Ag Pack Westville","1989349","","918-723-4158","Office"
"Ag Partners Corporate LLC","1980544","","712-843-2291","Office"
"Ag Partners Goodhue","1989261","","507-356-8881","Fax"
"Ag Partners Goodhue","1989261","","507-356-8102","Office"
"Ag Partners Goodhue","1989261","2","507-356-8313","Mill"
"Ag Partners Goodhue","1989261","","651-923-4496","Office"
"Ag Partners LLC Ellsworth","2174144","","515-836-2126","Office"
"Ag Partners Pine Island","1980958","2","800-356-8313","Office"
"Ag Partners Pine Island","1980958","","507-356-8102","Office"
"Ag Partners Pine Island","1980958","2","507-356-8313","Mill"
"Ag Partners Pine Island","1980958","","507-356-8881","Fax"
"Ag Partners Pine Island","1980958","","651-923-4496","Office"
"Ag Partners Sheldon LLC","1980970","","712-324-2548","Mill"
"Ag Partners Sheldon LLC","1980970","","712-324-4328","Office"
"Ag Production Enterprises, Inc. ","1980974","16","812-663-4550","Mill"
"Ag Production Enterprises, Inc. ","1980974","","812-663-4550","Office"
"Ag Reserves, Inc","2130645","","801-667-3500","Office"
"Ag West Feed And Supply","1980989","","308-784-2201","Office"
"AgCentral Farmers Coop","2947617","","423-453-6529","Mill"
"AgCentral Farmers Coop","2947617",""," 423-507-9304","Mill"
"Agri Way Partners LLC","1980990","","319-256-6000","Office"
"Agri Way Partners LLC","1980990","","319-256-6020","Fax"
"Agricultural Services Inc.","2849988","","308-382-0160","Office"
"Agriland FS Burlington Junction","2878611","","515-462-5364","Office"
"Agriland FS Clarinda","2878593","","712-542-2146","Office"
"Agriland FS Corporate","2878617","","515-462-5364","Office"
"AgriLand FS Oskaloosa","2134787","","641-673-5976","Office"
"AgState Nemaha ","1989222","","712-636-4458","Office"
"AgState Nemaha ","1989222","","712-272-4114","Mill"
"AgState Nemaha ","1989222","","712-636-4450","Fax"
"AgState Newell South Mill ","1989221","","712-272-3396","Office"
"AgState Newell South Mill ","1989221","","712-272-4258","Fax"
"AGWRX Cooperative","1992645","","605-886-3039","Office"
"AGWRX Cooperative","1992645","","605-886-0601","Fax"
"AGWRX Cooperative","1992645","","605-886-4406","Mill"
"Ainsworth Feed Processing","1989298","","402-382-7250","Office"
"Ainsworth Feed Processing","1989298","","402-382-7250","Mill"
"Al Safi Dairy Premix ","2010332","","966544123138","Office"
"Albert Lea Elevator","2005129","","507-373-3133","Office"
"Albert Lea Elevator","2005129","","507-373-3173","Office"
"Alcivia ","1989158","","715-672-8947","Office"
"Alcivia ","1989158","","715-303-1621","Office"
"All American Cooperative","2131475","","507-533-4222","Mill"
"All American Cooperative","2131475","","507-280-0066","Fax"
"Allen Klassen","1989407","","403-345-4259","Office"
"Allen Klassen","1989407","","403-894-1645","Mobile"
"Alpha Feed Mill","1986514","","309-629-4131","Office"
"American Colloid Neenah","1986515","","920-722-7754","Office"
"American Colloid Troy","1986523","","812-547-3567","Office"
"Andy Shull","1989586","","618-562-6969","Mill"
"Andy Shull","1989586","","618-793-2419","Office"
"APEX Nutri Solutions Inc.","2008310","","780-877-2173","Fax"
"APEX Nutri Solutions Inc.","2008310","","780-877-2171","Office"
"Applewood Farms LLC - CLOSED","1986529","","217-452-7292","Office"
"Applewood Farms LLC - CLOSED","1986529","","217-458-2662","Mill"
"Art Benda","1986532","","507-847-4729","Office"
"Aspenheim Colony","2008313","259","204-274-2046","Office"
"Aspenheim Colony","2008313","","204-871-2182","Mill"
"Audubon Manning Veterinary Clinics Crawfordsville (AMVC)","1986527","","765-230-6847","Office"
"Audubon Manning Veterinary Clinics Crawfordsville (AMVC)","1986527","","712-563-2683","Mill"
"Audubon Manning Veterinary Clinics Wyoming (AMVC)","1986528","","712-563-2080","Office"
"Audubon Manning Veterinary Clinics Wyoming (AMVC)","1986528","","307-331-2867","Mill"
"Austin Mac Inc","2829699","","206-624-7066","Office"
"B And B Farm Store","1986615","","319-827-1500","Office"
"B And B Farm Store","1986615","","319-827-1463","Mill"
"Back Forty Feed","1986616","","320-760-5219","Office"
"Bad Dad Brewery","2222988","","765-661-9729","Office"
"Badger State Brewing","2045024","","920-634-5687","Office"
"Baker Colony","1986619","","587-787-2440","Office"
"Baseline Pork / DaCosta","1986620","","519-879-6451","Mill"
"Batson River Brewing","2751131","","202-709-9145","Office"
"Baxter Brewing","2211697","","207-557-3704","Office"
"Becker Farms","2010333","","218-732-3619","Office"
"Bedford Farm Bureau Cooperative","1986637","","814-793-2721","Office"
"Bedford Farm Bureau Cooperative","1986637","","814-623-1488","Fax"
"Belgrade Grain","1986638","","320-254-0051","Mill"
"Belgrade Grain","1986638","","320-254-0053","Office"
"Belstra Milling","1986647","150","219-987-4343","Mill"
"Belstra Milling","1986647","","219-987-4343","Office"
"Benjamin Riensche Farming Co.","2351015","","563-920-8983","Office"
"Bentdale Farms","1988999","","507-776-2510","Office"
"Berg Pork LTD","1989000","","319-461-4867","Mobile"
"Beusekom Farms LTD","1989001","","403-892-3861","Office"
"Bickett Farms","2010334","","270-525-3721","Office"
"Bickett Farms","2010334","","270-499-3767 Troy cell","Mill"
"Bickett Farms","2010334","","270-525-9182","Fax"
"Biddle Farms","1989003","","309-582-6869","Mobile"
"Biddle Farms","1989003","","309-584-4539","Office"
"Big Gain Research Farm","1989012","","507-387-7971","Office"
"Big Gain Research Farm","1989012","","507-246-5047","Office"
"Big Gain Research Farm","1989012","","507-385-7239","Mobile"
"Big Rose Colony","1989013","","406-337-3223","Office"
"Big Stone Colony Minnesota","2093088","","320-748-7961","Office"
"Big Stone Colony Montana New Mill - ISO Wean","2250764","","406-736-5545","Office"
"Big Stone Colony Montana Old Mill","2008241","707","406-736-5324","Mill"
"Big Stone Colony Montana Old Mill","2008241","","406-736-5805","Fax"
"Big Stone Colony Montana Old Mill","2008241","","406-736-5478","Office"
"Big Stone Colony Montana Old Mill","2008241","","406-736-5401","Office"
"Big Valley Milling","1989015","","320-269-8854","Office"
"Big Valley Milling","1989015","","320-269-8854","Office"
"Bles Wold Dairy","2158974","","403-596-6373","Mobile"
"Blue Diamond","2378976","115","305-889-1782","Office"
"Blue Ridge Aquaculture Inc. ","1989020","","276-632-9192","Fax"
"Blue Ridge Aquaculture Inc. ","1989020","","276-632-9440","Office"
"Bluegrass Colony","1989019","201","403-642-2475","Office"
"Bluff Country Feed And Seed","2754410","","563-210-9258","Mobile"
"Boerboom Ag Resources LLC","1989031","","507-532-7351","Office"
"Boerboom Ag Resources LLC","1989031","","507-532-7358","Fax"
"Bon Homme Colony Tabor SD","1989033","139","605-463-2114","Mill"
"Bon Homme Colony Tabor SD","1989033","","605-463-2422","Office"
"Bone Creek Colony","2793206","","306-297-4192","Office"
"Bormann Farms","1989034","","515-341-1485","Mobile"
"Bourdeau Brothers","2891511","","802-933-2277","Office"
"Bourdon Feed And Grain Inc. ","1989035","","613-527-2859","Office"
"Bowman And Landes Turkeys Inc. ","1989254","","937-845-9998","Fax"
"Bowman And Landes Turkeys Inc. ","1989254","","937-845-9466","Office"
"Braswell Family Farms","2897801","","252-459-2143","Office"
"Brazinski Pork, Inc.","2540613","Jim's cell","618-559-0559","Mobile"
