Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry
"","_Unknown Company","1903300","","",""
"21st Century Cooperative Co is a Construction company located in 74757 Richland Rd, Massena, Iowa, United States.","21st Century Coop (Twenty First)","1980421","4/26/2026 12:00 PM","www.21stcoop.com","Feed"
"","3331039 Nova Scotia Limited","1989011","9/1/2025 12:00 PM","","Feed"
"","4+ Feeders LLC","2530412","9/22/2025 12:00 PM","","Cattle"
"","A and D Farms, Inc.","2645936","8/16/2025 12:00 PM","","Feed"
"","A And L Spronk Farms","1980423","2/1/2026 12:00 PM","","Feed"
"","A Baurs","2169039","12/12/2026 12:00 PM","","Agronomy-Dry"
"","A L Gilbert OCFY Facility","2503874","","","Feed"
"","A To Z Drying, Inc.","2008119","","","Other"
"","AAA Egg Company PTY LTD","1980424","","","Feed"
"","ACA Bio (ICM)","2159177","","","Other"
"","Active Feed Company","2353004","7/9/2025 12:00 PM","","Feed"
"","ADM Co-Generation Plant","2641155","","","Feed"
"","Advanced Micronutrient Products","2244779","","","Agronomy-Dry"
"","Ag Cooperative Corporate","2948752","","","Feed"
"","Ag Cooperative Services ","2942450","9/7/2025 12:00 PM","","Feed"
"","Ag Pack Corporate","2948753","","","Feed"
"","Ag Pack Sanford","1989347","2/1/2026 12:00 PM","","Feed"
"","Ag Pack Westville","1989349","2/1/2026 12:00 PM","","Feed"
"","Ag Partners Corporate LLC","1980544","","","Feed"
"","Ag Partners Goodhue","1989261","","","Feed"
"","Ag Partners LLC Ellsworth","2174144","","","Feed"
"","Ag Partners Pine Island","1980958","6/19/2026 12:00 PM","","Feed"
"","Ag Partners Sheldon LLC","1980970","","","Feed"
"","Ag Pro","2029580","","","Other"
"","Ag Production Enterprises, Inc. ","1980974","","","Feed"
"","Ag Reserves, Inc","2130645","12/23/2025 12:00 PM","","Feed"
"","Ag West Feed And Supply","1980989","2/17/2026 12:00 PM","","Feed"
"","AgCentral Farmers Coop","2947617","10/25/2025 12:00 PM","","Feed"
"","Agri Way Partners LLC","1980990","7/29/2025 12:00 PM","","Feed"
"","Agricultural Services Inc.","2849988","3/29/2026 12:00 PM","","Agronomy-Dry"
"","Agriland FS Albany","2963343","4/3/2026 12:00 PM","","Agronomy-Liquid"
"","Agriland FS Audubon","2928219","2/26/2026 12:00 PM","","Agronomy-Liquid"
"","Agriland FS Burlington Junction","2878611","8/30/2025 12:00 PM","","Feed"
"","Agriland FS Canby","2928234","2/23/2026 12:00 PM","","Agronomy-Liquid"
"","Agriland FS Clarinda","2878593","8/30/2025 12:00 PM","","Feed"
"","Agriland FS Corporate","2878617","","","Feed"
"","Agriland FS Griswold","2675784","3/1/2026 12:00 PM","","Agronomy-Liquid"
"","Agriland FS Harlan","2928236","2/26/2026 12:00 PM","","Agronomy-Dry And Liquid"
"","Agriland FS Missouri Valley","2963321","3/28/2026 12:00 PM","","Agronomy-Liquid"
"","AgriLand FS Oskaloosa","2134787","8/30/2025 12:00 PM","","Feed"
"","Agriland FS Underwood","2928212","2/22/2026 12:00 PM","","Agronomy-Liquid"
"","Agriland FS Woodbine","2928218","3/4/2026 12:00 PM","","Agronomy-Liquid"
"","Agriland FS Wyman","2963328","2/5/2026 12:00 PM","","Agronomy-Liquid"
"","AgroLiquid","2951378","1/24/2026 12:00 PM","","Agronomy-Liquid"
"","Agromart","2249497","4/15/2026 12:00 PM","","Agronomy-Dry"
"","Agrow Solutions","2971780","","","Agronomy-Liquid"
"","AgState Corporate","2948755","","","Feed"
"","AgState Nemaha ","1989222","1/14/2026 12:00 PM","","Feed"
"","AgState Newell South Mill ","1989221","3/14/2026 12:00 PM","","Feed"
"","AGWRX Cooperative","1992645","11/21/2025 12:00 PM","","Feed"
"","Ainsworth Feed Processing","1989298","9/20/2025 12:00 PM","","Feed"
"","Al Safi Dairy Corporate","2251298","","","Feed"
"","Al Safi Dairy PMR Plant","2251576","7/7/2025 12:00 PM","","Feed"
"","Al Safi Dairy Premix ","2010332","7/7/2025 12:00 PM","","Feed"
"","Albert Lea Elevator","2005129","7/15/2025 12:00 PM","","Feed"
"","Alcivia ","1989158","10/20/2025 12:00 PM","","Feed"
"","All American Cooperative","2131475","","","Feed"
"","Allen Klassen","1989407","","","Feed"
"","Alpha Feed Mill","1986514","","","Feed"
"","American Colloid Corporate","1986526","","","Other"
"","American Colloid Neenah","1986515","4/2/2026 12:00 PM","","Other"
"","American Colloid Troy","1986523","5/5/2026 12:00 PM","","Other"
"","American Freedom Distillery","2970058","","","Brewery"
"","Ameropa","2728609","","","Feed"
"","AMVC Corporate","2948759","","","Feed"
"","AMVC Hamlin Feedmill LLC ","2786303","8/21/2025 12:00 PM","","Feed"
"","Andy Shull","1989586","","","Feed"
"","Animix","2958948","","","Feed"
"","Anuvia","2218391","","","Feed"
"","APEX Nutri Solutions Inc.","2008310","","","Feed"
"","Applewood Farms LLC - CLOSED","1986529","","","Feed"
"","Art Benda","1986532","","","Feed"
"","Aspenheim Colony","2008313","","","Feed"
"","Associated Feeds","2937692","","","Feed"
"","Atlanta Ag","2982574","3/28/2026 12:00 PM","","Agronomy-Liquid"
"","Audubon Manning Veterinary Clinics Crawfordsville (AMVC)","1986527","9/19/2025 12:00 PM","","Feed"
"","Audubon Manning Veterinary Clinics Wyoming (AMVC)","1986528","7/10/2025 12:00 PM","","Feed"
"","Austin Mac Inc","2829699","","","Feed"
"","AWSW Solutions","2897803","","","Other"
"","B And B Farm Store","1986615","","","Feed"
"","Back Forty Brewing Company","2895102","","","Brewery"
"","Back Forty Feed","1986616","2/1/2026 12:00 PM","","Feed"
"","Bad Dad Brewery","2222988","","","Brewery"
"","Badger Hatchery","2665520","","","Feed"
"","Badger State Brewing","2045024","","","Brewery"
"","Baker Colony","1986619","8/20/2025 12:00 PM","","Feed"
"","Bald Birds Brewing","2543494","","","Brewery"
"","Barentz NA","2942446","","","Feed"
"","Bartlett Cooperative","2174066","","","Feed"
"","Baseline Pork / DaCosta","1986620","12/21/2025 12:00 PM","","Feed"
"","Batson River Brewing","2751131","","","Brewery"
"","Baxter Brewing","2211697","","","Brewery"
"","BC Hops","2206984","","","Feed"
"","Becker Farms","2010333","","","Feed"
"","Bedford Farm Bureau Cooperative","1986637","8/14/2025 12:00 PM","","Feed"
"","Belgrade Grain","1986638","5/17/2026 12:00 PM","","Grain"
"","Bellingham Farmers Elevator","2969188","","","Agronomy-Dry"
"","Belstra Milling","1986647","11/4/2025 12:00 PM","","Feed"
"","Benjamin Riensche Farming Co.","2351015","9/15/2025 12:00 PM","","Other"
"","Bentdale Farms","1988999","","","Feed"
"","Berg Pork LTD","1989000","8/5/2025 12:00 PM","","Feed"
"","Beusekom Farms LTD","1989001","","","Feed"
"","Bickett Farms","2010334","4/11/2026 12:00 PM","","Feed"
"","Biddle Farms","1989003","3/7/2026 12:00 PM","","Feed"
"","Big Escambia Spirits","2727353","","","Brewery"
"","Big Gain Research Farm","1989012","","","Feed"
"","Big Rose Colony","1989013","3/9/2026 12:00 PM","","Feed"
"","Big Stone Colony Minnesota","2093088","6/10/2025 12:00 PM","","Feed"
"","Big Stone Colony Montana New Mill - ISO Wean","2250764","","","Feed"
"","Big Stone Colony Montana Old Mill","2008241","","","Feed"
"","Big Valley Milling","1989015","5/4/2026 12:00 PM","","Feed"
"","Birdsall Grain and Seed","2961648","","","Agronomy-Dry"
"","Black Frost Distillery","2675776","","","Brewery"
"","Bles Wold Dairy","2158974","","","Feed"
"","Blue Diamond","2378976","","","Other"
"","Blue Ridge Aquaculture Inc. ","1989020","5/26/2026 12:00 PM","","Other"
"","Blue Sky Dairy","2962256","4/18/2026 12:00 PM","","Feed"
"","Bluegrass Colony","1989019","2/1/2026 12:00 PM","","Feed"
"","Bluff Country Feed And Seed","2754410","","","Feed"
"","Boerboom Ag Resources LLC","1989031","10/2/2025 12:00 PM","","Feed"
"","Bon Homme Colony Elie MB","2847188","10/18/2025 12:00 PM","","Feed"
"","Bon Homme Colony Tabor SD","1989033","4/20/2026 12:00 PM","","Feed"
"","Bone Creek Colony","2793206","","","Feed"
"","Borderland Colony","2968516","","","Feed"
"","Bormann Farms","1989034","4/7/2026 12:00 PM","","Feed"
"","Bourdeau Brothers","2891511","10/13/2025 12:00 PM","","Feed"
"","Bourdon Feed And Grain Inc. ","1989035","","","Feed"
"","Bowman And Landes Turkeys Inc. ","1989254","6/25/2026 12:00 PM","","Feed"
"","Brando Holsteins","2323850","","","Cattle"
"","Braswell Family Farms","2897801","12/4/2025 12:00 PM","","Feed"
"","Brazinski Pork, Inc.","2540613","5/27/2026 12:00 PM","","Feed"
"","Brenelm Farms Ltd","2008255","12/1/2025 12:00 PM","","Feed"
"","Brenneman Pork ","1989036","9/30/2025 12:00 PM","","Feed"
"","Brew Theory","2026820","","","Brewery"
"","Brey's Egg Farm","1989037","10/14/2025 12:00 PM","","Feed"
"","Bridgewater Dairy","2938015","","","Feed"
"Customer has not been updated due to being off support. ","Brightstone Colony","1989038","","","Feed"
"","Brinkman Pork Farm","2005472","","","Feed"
"","Broad Valley Colony","1989044","","","Feed"
"","Brock Stock Farm LTD","1989045","","","Feed"
"","Brodersen Farms","2976876","","","Feed"
"","Broekfarms Inc.","2374944","4/8/2026 12:00 PM","","Feed"
"","Brookfield Pork","1989166","8/8/2025 12:00 PM","","Feed"
"","Brown Farms ","2925487","6/14/2026 12:00 PM","","Feed"
"","BSC Animal Nutrition","1989046","3/5/2026 12:00 PM","","Feed"
"","Buchheit Feed Mill","1989062","4/26/2026 12:00 PM","","Feed"
"","Buena Connection Brewing","2967063","","","Brewery"
"","Buffalo Bayou Brewing Company","2052116","","","Brewery"
"","Buhls-Ridge View Farm Inc.","1989063","4/20/2026 12:00 PM","","Feed"
