Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry,Fax,Other Phones,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Billing Country,Shipping Street,Shipping City,Shipping State/Province,Shipping Zip/Postal Code,Shipping Country
,Schwartz Finishing Morgan,2958329,1/26/2026 12:00 PM,,Feed,,,32296 190th Street,Sleepy Eye,MN,56085,USA,711 Front Street,Morgan,MN,56266,USA
,_Unknown Company,1903300,,,,,,,,,,,,,,,
,Keystone Cooperative Eldorado,2949444,,,Agronomy-Liquid,,,,,,,,150 E Ohio Street,Eldorado,OH,45321,USA
,Doon Elevator Corporate,2955772,,,Feed,,,,,,,,301 Gere Ave,Doon,IA,51235,USA
,Simplot Rosedale,2952235,,,Agronomy-Dry,,,,,,,,,Rosedale,MS,,USA
,East End Colony Corporate,2955773,,,Feed,,,,,,,,,,,,
,Duro Bag / Novolex,2954746,,,Feed,,,,,,,,271 One Duro Way,Walton,KY,41094,USA
,AAA Egg Company PTY LTD,1980424,,,Feed,011-61-08-9319-0290,Office (011-61-08-9319-0214),PO Box 2147,Palmyra,Western Australia,6157,Australia,PO Box 2147,Palmyra,Western Australia,6157,Australia
,Ag Partners Corporate LLC,1980544,,,Feed,,Office (712-843-2291),PO Box 38,Albert City,IA,50510,USA,,,,,
,Ag Partners Sheldon LLC,1980970,,,Feed,,Mill (712-324-2548);Office (712-324-4328),PO Box 128,Sheldon,IA,51201,USA,1541 Western Ave,Sheldon,IA,51201,USA
,Alpha Feed Mill,1986514,,,Feed,,Office (309-629-4131),2741 North 150th Avenue,Alpha,IL,61413,USA,2741 North 150th Avenue,Alpha,IL,61413,USA
,American Colloid Corporate,1986526,,,Other,,,,,,,,901 Acco Ave,Neenah,WI,54957,USA
,Art Benda,1986532,,,Feed,,Office (507-847-4729),59093 850th Street,Alpha,MN,56111,USA,59093 850th Street,Alpha,MN,56111,USA
,Bourdon Feed And Grain Inc. ,1989035,,,Feed,,Office (613-527-2859),18408 Concession 15,Maxville,ON,K0C-1T0,Canada,18408 Concession 15,Maxville,ON,K0C-1T0,Canada
,Burkey Farms - MILL CLOSED,1989064,,,Feed,402-764-2013,Office (402-761-3599);Mill (402-761-3599);Office (402-761-2732),3408 Rokeby Road,Dorchester,NE,68343,USA,3408 Rokeby Road,Dorchester,NE,68343,USA
,Canmark Farms Inc. ***Broekfarms bought this mill***,1989075,,,Feed,519-666-2470,Office (519-666-2365),"McQuipment Ltd. General Delivery596210 Hwy 59",Hickson,ON,N0L 1L0,Canada,Route 4,Denfield,ON,N0M 1P0,Canada
