,Auger,,,Equipment,TRUE,,
,Bulk Bag Rack,,,Equipment,TRUE,,
,Grinder,,,Equipment,TRUE,,
,Hammer Mill,,,Equipment,TRUE,,
,MFP,,,Equipment,TRUE,,
,Microsystem,,,Equipment,TRUE,,
,Mixer,,,Equipment,TRUE,,
,Tote Scale,,,Equipment,TRUE,,
,EZ Beam Tote,,,Equipment,TRUE,,
,CCP.DUST01,,,Panel,TRUE,,
,Dultmeier Core Panel,,,Panel,TRUE,,
,EZ Weigh II/III,,,Panel,TRUE,,
,EZ Weigh IV,,,Panel,TRUE,,
,Graphics Panel,,,Panel,TRUE,,
,Kiosk Printer Panel,,,Panel,TRUE,,
,Mark III,,,Panel,TRUE,,
,Mark IV,,,Panel,TRUE,,
,Motor Control Panel,,,Panel,TRUE,,
,RMS Brewery Panel,,,Panel,TRUE,,
,Solenoid Panel,,,Panel,TRUE,,
,Hand Add Station,,,Panel,TRUE,,
,Kiosk Check In/Out,,,Panel,TRUE,,
,RMS All in One Panel Mill Automation,,,Panel,TRUE,,
,Touchscreen Panel,,,Panel,TRUE,,
,Alarm Panel,,,Panel,TRUE,,
,Loadout Push Button Panel,,,Panel,TRUE,,
,Heated Tank Control,,,Panel,TRUE,,
,Heat Tank Recirc Panel,,,Panel,TRUE,,
,Agronomy-Dry Facility Automation,,,Control,TRUE,,
,Agronomy-Liquid Facility Automation,,,Control,TRUE,,
,Declining Weight Fertilizer Custom Program,,,Control,TRUE,,
,Downstream Order Additive Module,,,Control,TRUE,,
,Liquid,,,Control,TRUE,,
,Pelleting Controls,,,Control,TRUE,,
,PLC Controlled Load Out (Including Laser Load Out),,,Control,TRUE,,
,PLC Program,,,Control,TRUE,,
,Pneumatic Air,,,Control,TRUE,,
,Preweigh of Minor/Micro Scales,,,Control,TRUE,,
,RMS Standard Program,,,Control,TRUE,,
,Serial To Wago,,,Control,TRUE,,
,Bin Safeguard Receiving (HMI),,,Control,TRUE,,
,Demand Batching,,,Control,TRUE,,
,Distributor Night Mode (HMI),,,Control,TRUE,,
,Equipment Maintenance Program (HMI),,,Control,TRUE,,
,Error Event Reporting (HMI),,,Control,TRUE,,
,Multiple Bin Same Ingredient Receiving (HMI),,,Control,TRUE,,
,RMS 3rd Party Integration,,,Control,TRUE,,
,HMI,,,Control,TRUE,,
,Computer/Server,,,Computer-Licensing,TRUE,,
,Double Batcher,,,Computer-Licensing,TRUE,,
